param R :=10;
param D :=1;
param F :=100;
param N :=8;

param : v :=
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
;

param : L : c :=
1 1 1 5 1
1 1 1 6 1
1 1 2 5 1
1 1 2 7 1
1 1 3 6 1
1 1 3 8 1
1 1 4 7 1
1 1 4 8 1
1 1 5 1 1
1 1 5 2 1
1 1 5 6 1
1 1 5 7 1
1 1 6 1 1
1 1 6 3 1
1 1 6 5 1
1 1 6 8 1
1 1 7 2 1
1 1 7 4 1
1 1 7 5 1
1 1 7 8 1
1 1 8 3 1
1 1 8 4 1
1 1 8 6 1
1 1 8 7 1
;

param :s :=
1 3
2 2
3 2
4 4
5 2
6 4
7 2
8 2
9 2
10 1
;
param :d :=
1 2
2 3
3 4
4 1
5 3
6 3
7 3
8 3
9 1
10 3
;
param :r :=
1 4
2 5
3 5
4 5
5 5
6 5
7 2
8 5
9 5
10 2
;
end;
