param R :=11;
param D :=1;
param F :=100;
param N :=6;

param : v :=
1 1 1
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
;

param : L : c :=
1 1 1 2 1
1 1 1 4 1
1 1 1 5 1
1 1 2 1 1
1 1 2 3 1
1 1 2 5 1
1 1 3 2 1
1 1 3 5 1
1 1 3 6 1
1 1 4 1 1
1 1 4 5 1
1 1 4 6 1
1 1 5 1 1
1 1 5 2 1
1 1 5 3 1
1 1 5 4 1
1 1 5 6 1
1 1 6 3 1
1 1 6 4 1
1 1 6 5 1
;

param :s :=
1 3
2 2
3 1
4 2
5 1
6 1
7 1
8 1
9 1
10 1
11 2
;
param :d :=
1 1
2 1
3 3
4 3
5 3
6 3
7 2
8 3
9 2
10 3
11 3
;
param :r :=
1 2
2 2
3 5
4 5
5 4
6 5
7 3
8 3
9 3
10 3
11 3
;
end;
